Ctrl Name,SIP,Watch 10,Watch 25,Watch 50,Watch 75,,,,,,,,,,,,,,,,,
nPeeps,20000,20000,20000,20000,20000,,,,,,,,,,,,,,,,,
minDaysSick,10,10,10,10,10,,,,,,,,,,,,,,,,,
pRecover,0.54,0.54,0.54,0.54,0.54,,,,,,,,,,,,,,,,,
pDie,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,
pInfectFamily,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,
pInfectFriend,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,
pInfectStgr,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,
nInFamily,3,3,3,3,3,,,,,,,,,,,,,,,,,
nFriends,10,10,10,10,10,,,,,,,,,,,,,,,,,
FriendsPerDay,2,2,2,2,2,,,,,,,,,,,,,,,,,
FriendRadius,30,30,30,30,30,,,,,,,,,,,,,,,,,
StgrsPerDay,3,3,3,3,3,,,,,,,,,,,,,,,,,
StrangerRadius,50,50,50,50,50,,,,,,,,,,,,,,,,,
pServiceGuy,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,
ServStgrPerDay,10,10,10,10,10,,,,,,,,,,,,,,,,,
ServStgrRadius,30,30,30,30,30,,,,,,,,,,,,,,,,,
DaysTillSymptoms,5,5,5,5,5,,,,,,,,,,,,,,,,,
pShowSymptoms,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,
pTest,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,
nTestsPerDay,2000,2000,2000,2000,2000,,,,,,,,,,,,,,,,,
pHaveWatch,0.001,0.1,0.25,0.50,0.75,,,,,,,,,,,,,,,,,
Test2Isolate,2,2,2,2,2,,,,,,,,,,,,,,,,,
